AX,AY,AZ,GX,GY,GZ,Type
-0.9,-5.06,-8.13,0,0.04,-0.01,2
-9.41,2.27,-1.53,0,0.01,-0.01,1
6.64,-6.15,-3.39,-0.02,0.02,-0.01,1
0.49,4.68,-8.44,0,0.02,-0.01,0
6.66,-6.15,-3.37,-0.01,0.02,-0.01,1
2.69,2.17,-8.98,0,0.02,-0.01,0
5.47,0.56,-7.84,0,0.02,-0.01,0
2.15,1.68,-9.21,0,0.01,-0.01,0
1,3.84,-8.8,0,0.01,-0.01,0
0.46,4.63,-8.44,0,0.01,-0.01,0
6.67,-6.14,-3.33,-0.01,0.01,-0.01,1
6.64,-6.17,-3.38,0,0.02,-0.01,1
1.04,3.88,-8.78,0,0.01,-0.01,0
1.72,4.71,-8.24,0,0.01,-0.01,0
6.54,-6.24,-3.52,-0.01,0.02,-0.01,1
2.72,2.3,-8.94,0,0.01,-0.01,0
2.66,2.21,-8.95,0,0.02,-0.01,0
2.72,2.15,-8.97,0,0.01,-0.01,0
1.03,3.88,-8.78,0,0.01,-0.01,0
1.01,3.86,-8.77,0,0.01,-0.01,0
1.02,3.86,-8.75,0,0.02,-0.01,0
1.02,3.9,-8.76,0,0.02,-0.01,0
1.55,3.42,-8.56,0.12,0.22,0.6,2
2.14,1.7,-9.22,0,0.02,-0.01,0
-9.58,1.51,-1.37,0,0.01,-0.01,1
-1.34,2.04,-9.3,0.04,-0.02,-0.02,2
6.66,-6.13,-3.35,0,0.02,-0.01,1
-9.41,2.26,-1.44,0,0.02,-0.01,1
-9.38,2.27,-1.51,-0.01,0.01,-0.01,1
-0.88,1.42,-9.48,-0.09,-0.01,-0.02,2
3.86,2.73,-8.37,0,0.02,-0.01,0
-9.42,2.23,-1.51,0,0.01,-0.01,1
6.62,-6.21,-3.36,0.01,0.01,0,1
2.11,1.68,-9.25,0,0.02,-0.01,0
1.75,4.75,-8.24,0,0.01,-0.01,0
2.14,1.69,-9.21,0,0.02,-0.01,0
-9.43,2.19,-1.53,-0.01,0.02,-0.01,1
-1.41,3.01,-9.01,0.01,0.01,0.12,0
1.14,0.84,-9.03,0.7,0.72,0.15,2
2.24,2.99,-8.84,0,0.02,-0.01,0
2.25,3.02,-8.84,0,0.02,-0.01,0
-9.42,2.3,-1.38,-0.01,0.02,-0.01,1
2.24,3.04,-8.88,0,0.01,-0.01,0
2.8,1.68,-9.04,0,0.01,-0.01,3
2.81,1.67,-9.05,0,0.01,-0.01,3
2.81,1.66,-9.04,0,0.01,-0.01,3
1.83,-0.63,-9.24,0.12,-0.05,-0.01,2
-8.01,3.83,-13.36,0.54,-1.09,0.37,2
-9.41,2.22,-1.51,-0.01,0.02,-0.01,1
2.29,1.52,-9.2,0,0.01,-0.01,0
2.8,1.67,-9.06,0,0.02,-0.01,3
6.65,-6.14,-3.35,-0.01,0.02,-0.01,1
1.75,4.73,-8.22,0,0.02,-0.01,0
2.82,1.67,-9.03,0,0.01,-0.01,3
2.83,1.68,-9.03,0,0.01,-0.01,3
1.01,3.84,-8.78,0,0.01,-0.01,0
-0.78,-3.13,-9.15,0.13,0.38,0.75,2
2.82,1.67,-9.04,0,0.02,-0.01,3
6.63,-6.24,-3.38,-0.01,0.02,-0.01,1
1.01,3.86,-8.77,0,0.02,-0.01,0
2.62,1.04,-9.15,-0.01,0,-0.01,2
2.65,2.23,-8.96,0,0.02,-0.01,0
2.1,3.61,-8.66,0,0.02,-0.01,0
2.83,1.68,-9.03,0,0.01,-0.01,3
3.52,-2.09,-8.71,-0.26,0.08,-0.05,2
-9.4,2.23,-1.51,0,0.01,-0.01,1
2.8,1.67,-9.05,0,0.01,-0.01,3
2.83,1.67,-9.02,0,0.02,-0.01,3
-2.02,2.32,-9.12,-0.03,0.05,0,2
-9.39,2.28,-1.51,0,0.02,-0.01,1
2.81,1.68,-9.03,0,0.01,-0.01,3
2.37,0.39,-9.3,0,0.02,-0.01,2
2.8,1.67,-9.04,0,0.01,-0.01,3
-9.4,2.2,-1.54,0,0.02,-0.01,1
-2.41,-0.99,-10.87,-0.96,1.12,0.46,2
2.82,1.67,-9.01,0,0.01,-0.01,3
2.81,1.68,-9.06,0,0.02,-0.01,3
-0.61,0.8,-9.62,0.47,-0.01,-0.07,2
0.59,-0.7,-9.6,0.14,0.13,-0.01,2
3.86,2.72,-8.4,0,0.02,-0.01,0
2.65,2.93,-8.76,-0.01,0.02,-0.01,0
2.81,1.66,-9.05,0,0.01,-0.01,3
0.1,-3.32,-9.04,0.2,-0.23,-0.89,2
2.82,1.7,-9.05,0,0.01,-0.01,3
2.81,1.69,-9.04,0,0.01,-0.01,3
2.8,1.67,-9.05,0,0.01,-0.01,3
2.82,1.68,-9.04,0,0.01,-0.01,3
2.82,1.68,-9.05,0,0.02,-0.01,3
1.2,-4.38,-5.05,-0.78,0.86,-0.47,2
3.06,0.75,-8.94,-0.32,0.22,0.02,2
2.81,1.68,-9.04,0,0.01,-0.01,3
2.8,1.67,-9.02,0,0.01,-0.01,3
-9.41,2.3,-1.43,0,0.01,-0.01,1
0.51,4.69,-8.45,0,0.02,-0.01,0
2.81,1.67,-9.04,0,0.02,-0.01,3
0.35,-4.06,-10.46,-0.22,0.34,-0.07,2
1.07,2.6,-9.14,-0.01,0,-0.09,2
2.13,1.71,-9.23,0,0.01,-0.01,0
0.96,4.84,-8.24,0,0.01,-0.01,2
0.49,4.69,-8.44,0,0.01,-0.01,0
1.56,-4.1,-8.53,0.01,0.02,-0.01,2
6.63,-6.19,-3.34,0,0.02,-0.01,1
1,3.88,-8.77,0,0.01,-0.01,0
-9.44,2.22,-1.49,0,0.01,-0.01,1
3.13,-0.02,-9.02,-0.02,0.02,0.01,2
1.03,3.87,-8.78,0,0.01,-0.01,0
2.69,2.16,-8.97,0,0.02,-0.01,0
2.82,1.69,-9.03,0,0.01,-0.01,3
-9.39,2.27,-1.56,0,0.02,-0.01,1
2.79,1.69,-9.03,0,0.02,-0.01,3
-9.4,2.33,-1.41,0,0.02,-0.01,1
1.41,-0.78,-8.3,0.4,-0.49,1.51,2
6.63,-6.19,-3.4,-0.01,0.02,-0.01,1
0.88,0.41,-9.56,0.01,0.03,-0.01,2
2.83,1.7,-9.06,0,0.02,-0.01,3
-9.41,2.24,-1.52,0,0.02,-0.01,1
2.25,3.02,-8.85,0,0.01,-0.01,0
2.47,-0.14,-9,-0.27,0.54,-0.12,2
2.81,1.7,-9.03,0,0.01,-0.01,3
-0.49,2.03,-9.78,0.42,0.35,0.4,2
6.66,-6.16,-3.35,0,0.02,-0.01,1
-1.61,-1.33,-9.92,0.18,0.53,-0.46,2
2.8,1.69,-9.04,0,0.01,-0.01,3
-9.47,2.12,-1.33,0,0.01,0,1
6.68,-6.16,-3.35,0,0.01,-0.01,1
0.39,-0.23,-9.58,0,0.02,-0.01,2
-9.39,2.3,-1.54,0,0.01,-0.01,1
6.67,-6.13,-3.36,0,0.01,-0.01,1
-9.48,2.14,-1.34,0,0.02,-0.01,1
2.25,3.03,-8.85,-0.01,0.02,-0.01,0
2.82,1.69,-9.06,0,0.02,-0.01,3
6.61,-6.21,-3.35,0,0.02,-0.01,1
1.15,3.89,-8.76,0,0.02,-0.01,2
-9.42,2.22,-1.54,0,0.02,-0.01,1
6.66,-6.13,-3.35,-0.01,0.01,-0.01,1
2.11,1.67,-9.23,0,0.01,-0.01,0
-9.41,2.21,-1.55,0,0.01,-0.01,1
2.81,1.69,-9.05,0,0.01,-0.01,3
6.6,-6.21,-3.33,0,0.01,-0.01,1
-9.41,2.26,-1.43,-0.01,0.02,-0.01,1
2.82,1.65,-9.02,0,0.02,-0.01,3
2.82,1.69,-9.05,0,0.01,-0.01,3
-9.47,2.1,-1.34,-0.01,0.02,-0.01,1
-9.4,2.23,-1.5,0,0.01,-0.01,1
2.81,1.67,-9.01,0,0.01,-0.01,3
2.24,3.03,-8.83,0,0.02,-0.01,0
2.69,2.16,-8.98,0,0.01,-0.01,0
0.67,1.25,-8.46,0.39,-0.66,-0.37,2
2.79,1.67,-9.03,0,0.01,-0.01,3
2.81,1.67,-9.04,0,0.01,-0.01,3
0.46,4.66,-8.44,0,0.01,-0.01,0
-9.45,2.16,-1.39,0,0.01,-0.01,1
0.47,4.68,-8.44,0,0.02,-0.01,0
-9.42,2.29,-1.42,0,0.01,-0.01,1
2.73,2.31,-8.92,0,0.02,-0.01,0
-3.09,0.24,-9.14,-0.13,-0.02,0.05,2
2.83,1.68,-9.02,0,0.02,-0.01,3
-9.47,2.15,-1.31,0,0.02,-0.01,1
-9.47,2.16,-1.32,0,0.01,-0.01,1
2.81,1.67,-9.04,0,0.01,-0.01,3
-9.41,2.27,-1.51,-0.01,0.02,-0.01,1
6.64,-6.19,-3.34,0,0.01,-0.01,1
2.81,1.69,-9.03,0,0.02,-0.01,3
6.49,-6.25,-3.44,0.01,0.02,-0.01,1
2.82,1.69,-9.06,0,0.01,-0.01,3
-9.4,2.31,-1.45,0,0.01,-0.01,1
0.47,4.64,-8.47,0,0.01,-0.01,0
1.29,-4.19,-8.54,-0.14,-0.09,0.07,2
0.91,3.77,-8.86,0,0.02,-0.01,0
-9.42,2.27,-1.52,0,0.02,-0.01,1
2.83,1.68,-9.03,0,0.01,-0.01,3
-9.61,1.33,-1.47,0,0.01,-0.01,1
6.64,-6.15,-3.32,0,0.02,-0.01,1
2.82,1.67,-9.04,0,0.01,-0.01,3
2.8,1.69,-9.05,0,0.01,-0.01,3
2.8,1.67,-9.06,0,0.01,-0.01,3
2.15,2.9,-8.91,0,0.02,-0.01,0
2.59,1.44,-9.14,0,0,0,2
6.61,-6.19,-3.36,0,0.02,-0.01,1
2.12,1.7,-9.2,0,0.01,-0.01,0
1.86,-2.56,-9.06,0.01,0.01,-0.01,2
2.13,1.68,-9.21,0,0.02,-0.01,0
2.81,1.68,-9.01,0,0.01,-0.01,3
2.35,3.37,-8.7,0,0.02,-0.01,0
2.81,1.67,-9.06,0,0.02,-0.01,3
2.81,1.68,-9.05,0,0.01,-0.01,3
-9.48,2.11,-1.32,0,0.02,-0.01,1
2.82,1.7,-9.04,0,0.02,-0.01,3
2.8,1.67,-9.03,0,0.02,-0.01,3
2.83,2.81,-8.76,0,0.01,-0.01,0
0.48,4.65,-8.44,0,0.02,-0.01,0
2.08,2.09,-9.14,-0.01,0.02,-0.01,2
0.05,-5.54,-7.31,0.24,0.37,-0.22,2
2.7,2.16,-8.97,0,0.01,-0.01,0
2.82,1.68,-9.05,0,0.02,-0.01,3
2.79,1.69,-9.03,0,0.01,-0.01,3
2.8,1.68,-9.03,0,0.01,-0.01,3
2.82,1.69,-9.02,0,0.01,-0.01,3
5.48,0.6,-7.84,-0.01,0.02,-0.01,0
2.82,1.67,-9.04,0,0.01,-0.01,3
1.13,5.9,-3.95,-0.7,-0.02,0.57,2
2.8,1.69,-9.04,0,0.01,-0.01,3
2.8,1.67,-9.04,0,0.01,-0.01,3
0.71,1.91,-6.42,-0.5,-0.5,0.38,2
-9.4,2.28,-1.43,-0.01,0.02,-0.01,1
6.59,-6.2,-3.38,-0.01,0.01,-0.01,1
2.81,1.67,-9.04,0,0.01,-0.01,3
-9.37,2.33,-1.44,0,0.02,-0.01,1
0.11,2.1,-9.37,0,0.01,-0.01,2
-0.16,1.89,-9.42,0.03,-0.01,-0.01,2
-1.34,2.87,-7.38,-1.04,-0.02,0.83,2
2.88,1.68,-9.03,0,0.01,-0.01,3
-2.08,-0.03,-9.78,0.17,0.79,0.35,2
2.82,1.7,-9.03,0,0.01,-0.01,3
-9.44,2.24,-1.42,0,0.01,-0.01,1
0.5,4.67,-8.43,0,0.01,-0.01,0
0.4,-3.1,-10.06,-0.05,-0.13,0.07,2
2.8,1.66,-9.05,0,0.01,-0.01,3
-9.57,1.39,-1.49,0,0.01,-0.01,1
0.48,4.68,-8.44,0,0.01,-0.01,0
-9.44,2.28,-1.45,0,0.01,-0.01,1
2.8,1.68,-9.03,0,0.01,-0.01,3
4.51,-3.39,-7.97,-0.99,0.36,-0.35,2
7.25,3.24,-5.31,-1.15,-0.37,-0.16,0
2.82,1.69,-9.06,0,0.01,-0.01,3
2.81,1.68,-9.04,0,0.01,-0.01,3
-9.43,2.26,-1.46,0,0.01,-0.01,1
2.84,1.64,-9.02,0,0.01,-0.01,3
2.81,1.66,-9.04,0,0.01,-0.01,3
2.83,1.68,-9.03,0,0.01,-0.01,3
3.89,2.75,-8.36,0,0.02,-0.01,0
2.8,1.67,-9.06,0,0.01,-0.01,3
2.8,1.68,-9.06,0,0.01,-0.01,3
2.83,1.67,-9.03,0,0.01,-0.01,3
6.59,-6.22,-3.35,0,0.01,0,1
2.81,1.69,-9.04,0,0.01,-0.01,3
3.94,-4.54,-7.33,-0.34,-0.85,0.8,2
6.7,-6.14,-3.37,0,0.02,-0.01,1
2.81,1.67,-9.03,0,0.02,-0.01,3